X,Y,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,POINT_X,POINT_Y,trip_id,stop_sequence,Time_Hour,offset,Notes,Trash,Sign,MPH,time_point,Arrive,Depart,Jurisdiction,Pullout,trip_direction,location_type,STOPTYPE,ROTATION
-108.544589118,39.106257532,1,S136,Horizon Drive north of G Road,Bench/Shelter,39.10625753,-108.54458912,712313.37459683,4331438.72683258,RT1,22,:25-:35,SE, ,Yes,Yes,40,No,,,City,No,Out,0,Intermediate,135
-108.544836086,39.1064175750001,2,S137,Horizon Drive east of G Road,Bench,39.10641757,-108.54483609,712291.53673388,4331455.91305962,RT1,35,:45-:55 ,NW, ,No,Yes,40,No,,,City,No,In,0,Intermediate,-45
-108.54326452,39.107855478,3,S138,Horizon Drive at Denny's,Bench,39.10785548,-108.54326452,712423.12385091,4331619.18867182,RT1,23,:25-:35,SE, ,No,Yes,40,No,,,City,No,Out,0,Intermediate,128
-108.543598544,39.1078557590001,4,S139,Horizon Drive at Applebee's,Bench/Shelter,39.10785576,-108.54359854,712394.23773408,4331618.43823297,RT1,34,:45,NW, ,Yes,Yes,40,Yes,1899/12/30 05:45:01+00,1899/12/30 05:45:01+00,City,No,In,0,Intermediate,-53
-108.541205928,39.110402713,5,S142,Horizon Drive at Taco Bell,Bench/Shelter,39.11040271,-108.54120593,712593.48556064,4331906.73695752,RT1,24,:35,SE, ,Yes,Yes,40,Yes,1899/12/30 05:35:01+00,1899/12/30 05:35:01+00,City,No,Out,0,Intermediate,135
-108.541532917,39.1104821280001,6,S144,Horizon Drive at Freddy's,No,39.11048213,-108.54153292,712564.97095997,4331914.78574913,RT1,33,:35-:45 ,NW, ,Yes,Yes,40,No,,,City,No,In,0,Intermediate,-45
-108.537610831,39.112971176,7,S145,Horizon Drive at Wendy's,Bench/Shelter,39.11297118,-108.53761083,712896.63222182,4332200.24897271,RT1,25,:35-:45 ,SE, ,Yes,Yes,35,No,,,City,No,Out,0,Intermediate,150
-108.538201725,39.112987178,8,S146,Horizon Drive at Clarion Inn,Bench/Shelter,39.11298718,-108.53820172,712845.48930661,4332200.63919108,RT1,32,:35-:45 ,NW, ,Yes,Yes,40,No,,,City,No,In,0,Intermediate,-30
-108.535128119,39.114633881,9,S149,Horizon Drive and Crossroads Boulevard (Grand Vista Hotel),Bench,39.11463388,-108.53512812,713106.30147664,4332390.62694467,RT1,31,:35-:45 ,NW, ,No,Yes,40,No,,,City,No,In,0,Intermediate,-30
-108.534752965,39.11457785,10,S150,Horizon Drive north of Horizon Court (Horizon Inn) ,Bench,39.11457785,-108.53475296,713138.90933854,4332385.28889226,RT1,26,:35-:45 ,SE, ,No,Yes,35,No,,,City,No,Out,0,Intermediate,155
-108.530486377,39.116948945,11,S153,Horizon Drive at Motel 6,Bench,39.11694894,-108.53048638,713500.67372471,4332658.49649906,RT1,27,:35-:45 ,SE, ,No,Yes,35,No,,,City,No,Out,0,Intermediate,135
-108.530659826,39.1171902400001,12,S154,Horizon Drive across from Motel 6,Bench,39.11719024,-108.53065983,713484.94761784,4332684.87089848,RT1,30,:35-:45 ,NW, ,No,Yes,40,No,,,City,No,In,0,Intermediate,-45
-108.530021956,39.1225429410001,13,S155,Grand Junction Regional Airport,Bench/Shelter,39.12254294,-108.53002196,713523.93132556,4333280.49257472,RT1,28,:35-:45 ,N,airport owns bench and shelter,Yes,Yes,40,No,,,Private,Yes,In,0,Intermediate,25
-108.5524795,39.0852050450001,14,S148,12th Street south of Walnut Avenue,Bench,39.08520504,-108.5524795,711694.01203611,4329083.60421615,RT1,41,:45-:55 ,W, ,Yes,Yes,30,No,,,City,No,In,0,Intermediate,-90
-108.552255123,39.087128942,15,S152,12th Street north of Walnut Avenue,No,39.08712894,-108.55225512,711707.66631101,4329297.66774319,RT1,16,:25-:35,E, ,No,Yes,30,No,,,City,No,Out,0,Intermediate,90
-108.552521387,39.0751395130001,16,S165,12th Street south of Teller Avenue (Lincoln Park),Bench/Shelter,39.07513951,-108.55252139,711720.49224066,4327966.29709605,RT1,43,:45-:55 ,W, ,Yes,Yes,30,No,,,City,No,In,0,Intermediate,-90
-108.552273243,39.0965043090001,17,S279,12th Street at Fairmont Medical Plaza,No,39.09650431,-108.55227324,711678.0494766,4330338.23293533,RT1,19,:25-:35,E, ,No,Yes,35,No,,,City,No,Out,0,Intermediate,90
-108.551375697,39.102072863,18,S280,Horizon Drive east of 12th Street (Safeway),Bench,39.10207286,-108.5513757,711739.00960316,4330958.40152023,RT1,21,:25-:35,SE, ,No,Yes,40,No,,,City,Yes,Out,0,Intermediate,155
-108.55716485,39.089903372,19,S281,Wellington Avenue east of 8th Street,No,39.08990337,-108.55716485,711274.68287948,4329594.17668738,RT7,33,:55 - :05,S, ,No,Yes,25,No,,,City,No,In,0,Intermediate,180
-108.559559949,39.0899364800001,20,S263,750 Wellington Avenue (Surgical Center and Dialysis) ,No,39.08993648,-108.55955995,711067.41211856,4329592.2813784,RT7,32,:55,S, ,No,Yes,25,Yes,1899/12/30 05:55:01+00,1899/12/30 05:55:01+00,City,No,In,0,Intermediate,180
-108.552444797,39.099905565,21,S333,12th Street at Northwood Apartments,No,39.09990557,-108.5524448,711653.03511107,4330715.35150632,RT1,37,:45-:55 ,W, ,No,Yes,35,No,,,City,No,In,0,Intermediate,-90
-108.552518158,39.096589743,22,S334,12th Street and Lakeside Drive,No,39.09658974,-108.55251816,711656.61109276,4330347.14455388,RT1,38,:45-:55 ,W, ,No,Yes,35,No,,,City,No,In,0,Intermediate,-90
-108.552253319,39.0979025830001,23,S335,12th Street at Atrium ,No,39.09790258,-108.55225332,711675.58877205,4330493.47921755,RT1,20,:25-:35,E, ,No,Yes,35,No,,,City,No,Out,0,Intermediate,90
-108.556981517,39.090054206,24,S361,Wellington Avenue west of Little Bookcliff Drive,No,39.09005421,-108.55698152,711290.09050501,4329611.34493145,RT7,8,:15 - :25,N, ,No,Yes,25,No,,,City,No,Out,0,Intermediate,0
-108.552253883,39.0940382590001,25,S371,12th Street north of Hermosa Avenue,No,39.09403826,-108.55225388,711687.10248576,4330064.56165637,RT1,18,:25-:35,E, ,No,Yes,35,No,,,City,No,Out,0,Intermediate,90
