NAME,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,state,county,tract,block,GEOID20,18 and younger,Ages 19-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - 18 and younger,Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Total Population Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - Total Population - White,Pop. Density - Total Population - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 2023, Block Group 2, Census Tract 36.03, Denver County, Colorado",31,1,15,2,1,31,31,0,31,17,8,0,0,0,0,6,6,0,08,031,003603,2023,080310036032023,1,9,8,6,6,1,0,0,14747,0,0.0056938167,5444.5,175.6,1405.0,1053.8,1053.8,175.6,0.0,0.0,5444.5,175.6,2634.4,351.3,175.6,5444.5,0.0,5444.5,2985.7,1405.0,0.0,0.0,0.0,0.0,1053.8
"Block 2020, Block Group 2, Census Tract 36.03, Denver County, Colorado",23,2,16,2,11,23,13,10,23,5,7,1,0,0,7,3,3,0,08,031,003603,2020,080310036032020,2,7,7,3,3,0,0,1,14674,0,0.0056656314,4059.6,353.0,1235.5,529.5,529.5,0.0,0.0,176.5,4059.6,353.0,2824.0,353.0,1941.5,2294.5,1765.0,4059.6,882.5,1235.5,176.5,0.0,0.0,1235.5,529.5
"Block 2021, Block Group 2, Census Tract 36.03, Denver County, Colorado",40,6,16,4,5,40,24,16,40,7,14,0,0,0,9,10,10,0,08,031,003603,2021,080310036032021,6,6,5,9,5,10,0,0,14707,0,0.0056783727,7044.3,1056.6,880.5,1585.0,880.5,1761.1,0.0,0.0,7044.3,1056.6,2817.7,704.4,880.5,4226.6,2817.7,7044.3,1232.7,2465.5,0.0,0.0,0.0,1585.0,1761.1
"Block 2022, Block Group 2, Census Tract 36.03, Denver County, Colorado",51,16,20,6,0,51,38,13,51,36,5,0,0,0,1,9,9,1,08,031,003603,2022,080310036032022,16,2,16,10,1,3,1,2,14650,0,0.005656365,9016.4,2828.7,2828.7,1767.9,176.8,530.4,176.8,353.6,9016.4,2828.7,3535.8,1060.8,0.0,6718.1,2298.3,9016.4,6364.5,884.0,0.0,0.0,0.0,176.8,1591.1
"Block 2024, Block Group 2, Census Tract 36.03, Denver County, Colorado",52,16,26,11,2,52,52,0,52,48,3,0,0,0,0,1,1,0,08,031,003603,2024,080310036032024,16,1,29,2,0,2,0,2,14097,0,0.0054428517,9553.8,2939.6,5328.1,367.5,0.0,367.5,0.0,367.5,9553.8,2939.6,4776.9,2021.0,367.5,9553.8,0.0,9553.8,8818.9,551.2,0.0,0.0,0.0,0.0,183.7
"Block 2025, Block Group 2, Census Tract 36.03, Denver County, Colorado",36,6,15,5,6,36,30,6,36,12,15,1,1,0,4,3,3,0,08,031,003603,2025,080310036032025,6,3,3,4,10,5,4,1,15068,0,0.0058177548,6188.0,1031.3,515.7,687.6,1718.9,859.4,687.6,171.9,6188.0,1031.3,2578.3,859.4,1031.3,5156.6,1031.3,6188.0,2062.7,2578.3,171.9,171.9,0.0,687.6,515.7
"Block 3002, Block Group 3, Census Tract 36.03, Denver County, Colorado",55,0,23,3,8,55,45,10,55,27,17,0,0,0,6,5,5,4,08,031,003603,3002,080310036033002,1,21,0,10,5,9,1,8,21616,0,0.0083459376,6590.0,119.8,0.0,1198.2,599.1,1078.4,119.8,958.6,6590.0,0.0,2755.8,359.5,958.6,5391.8,1198.2,6590.0,3235.1,2036.9,0.0,0.0,0.0,718.9,599.1
"Block 3005, Block Group 3, Census Tract 36.03, Denver County, Colorado",35,4,20,1,10,35,31,4,35,15,16,1,0,0,0,3,3,0,08,031,003603,3005,080310036033005,4,11,9,3,4,3,1,1,18165,0,0.0070135065,4990.4,570.3,1283.2,427.7,570.3,427.7,142.6,142.6,4990.4,570.3,2851.6,142.6,1425.8,4420.0,570.3,4990.4,2138.7,2281.3,142.6,0.0,0.0,0.0,427.7
"Block 3006, Block Group 3, Census Tract 36.03, Denver County, Colorado",293,31,154,24,31,293,269,24,293,222,25,0,19,0,9,18,18,0,08,031,003603,3006,080310036033006,31,76,129,21,20,13,3,1,34793,0,0.0134335773,21811.0,2307.7,9602.8,1563.2,1488.8,967.7,223.3,74.4,21811.0,2307.7,11463.8,1786.6,2307.7,20024.5,1786.6,21811.0,16525.8,1861.0,0.0,1414.4,0.0,670.0,1339.9
"Block 3007, Block Group 3, Census Tract 36.03, Denver County, Colorado",77,15,29,1,5,77,50,27,77,27,24,0,1,0,15,10,10,0,08,031,003603,3007,080310036033007,15,10,18,8,9,5,6,6,21656,0,0.0083613816,9209.0,1794.0,2152.8,956.8,1076.4,598.0,717.6,717.6,9209.0,1794.0,3468.3,119.6,598.0,5979.9,3229.1,9209.0,3229.1,2870.3,0.0,119.6,0.0,1794.0,1196.0
"Block 3008, Block Group 3, Census Tract 36.03, Denver County, Colorado",53,4,50,1,29,53,46,7,53,7,40,0,0,0,3,3,3,0,08,031,003603,3008,080310036033008,4,1,11,8,2,10,13,4,77417,0,0.0298907037,1773.1,133.8,368.0,267.6,66.9,334.6,434.9,133.8,1773.1,133.8,1672.8,33.5,970.2,1538.9,234.2,1773.1,234.2,1338.2,0.0,0.0,0.0,100.4,100.4
"Block 3009, Block Group 3, Census Tract 36.03, Denver County, Colorado",52,12,17,6,0,52,37,15,52,18,16,1,0,0,10,7,7,0,08,031,003603,3009,080310036033009,12,14,11,7,2,6,0,0,15864,0,0.0061250904,8489.7,1959.2,1795.9,1142.8,326.5,979.6,0.0,0.0,8489.7,1959.2,2775.5,979.6,0.0,6040.7,2448.9,8489.7,2938.7,2612.2,163.3,0.0,0.0,1632.6,1142.8
