NAME,state,county,block,tract,GEOID20,Pre K (Ages 0-5),Elementary (Ages 6-12),Teenage (Ages 13-18),18 and younger,Young Adult (Ages 19-29),Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,Ages 55+,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - Pre K (Ages 0-5),Pop. Density - Elementary (Ages 6-12),Pop. Density - Teenage (Ages 13-18),Pop. Density - 18 and younger,Pop. Density - Young Adult (Ages 19-29),Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Ages 55+,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - White,Pop. Density - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 2003, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2003,001103,080770011032003,3,1,11,15,15,0,4,0,2,7,0,9,43,15,16,6,2,43,30,13,43,29,0,0,1,2,4,7,7,0,20825.0,0.0,0.0080405325,5347.9,373.1,124.4,1368.1,1865.5,1865.5,0.0,497.5,0.0,248.7,870.6,0.0,1119.3,5347.9,1865.5,1989.9,746.2,248.7,3731.1,1616.8,5347.9,3606.7,0.0,0.0,124.4,248.7,497.5,870.6
"Block 2001, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2001,001103,080770011032001,7,17,10,34,22,31,21,26,20,11,13,55,178,34,72,25,26,178,159,19,178,154,0,2,0,0,2,20,20,4,547512.0,0.0,0.2113943832,842.0,33.1,80.4,47.3,160.8,104.1,146.6,99.3,123.0,94.6,52.0,61.5,260.2,842.0,160.8,340.6,118.3,123.0,752.1,89.9,842.0,728.5,0.0,9.5,0.0,0.0,9.5,94.6
"Block 2002, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2002,001103,080770011032002,6,1,5,12,7,11,9,16,4,0,2,17,61,12,37,10,6,61,58,3,61,57,0,0,2,0,0,2,2,0,31752.0,0.0,0.0122594472,4975.8,489.4,81.6,407.8,978.8,571.0,897.3,734.1,1305.1,326.3,0.0,163.1,1386.7,4975.8,978.8,3018.1,815.7,489.4,4731.0,244.7,4975.8,4649.5,0.0,0.0,163.1,0.0,0.0,163.1
"Block 2004, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2004,001103,080770011032004,0,2,2,4,6,3,9,2,5,3,0,8,32,4,14,8,3,32,27,5,32,23,0,0,4,0,0,5,5,0,14548.0,0.0,0.0056169828,5697.0,0.0,356.1,356.1,712.1,1068.2,534.1,1602.3,356.1,890.2,534.1,0.0,1424.3,5697.0,712.1,2492.4,1424.3,534.1,4806.9,890.2,5697.0,4094.7,0.0,0.0,712.1,0.0,0.0,890.2
"Block 2005, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2005,001103,080770011032005,3,3,0,6,1,1,0,3,1,0,0,1,12,6,5,4,0,12,8,4,12,6,0,0,0,0,1,5,5,0,70998.0,0.0,0.0274123278,437.8,109.4,109.4,0.0,218.9,36.5,36.5,0.0,109.4,36.5,0.0,0.0,36.5,437.8,218.9,182.4,145.9,0.0,291.8,145.9,437.8,218.9,0.0,0.0,0.0,0.0,36.5,182.4
"Block 2007, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2007,001103,080770011032007,1,1,2,4,1,2,0,3,0,0,0,3,10,4,1,1,0,10,6,4,10,5,0,1,0,0,4,0,0,0,52358.0,0.0,0.0202154238,494.7,49.5,49.5,98.9,197.9,49.5,98.9,0.0,148.4,0.0,0.0,0.0,148.4,494.7,197.9,49.5,49.5,0.0,296.8,197.9,494.7,247.3,0.0,49.5,0.0,0.0,197.9,0.0
"Block 2008, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2008,001103,080770011032008,2,7,6,15,7,28,3,3,14,18,2,35,90,15,30,17,4,90,66,24,90,81,0,2,2,0,3,2,2,3,38508.0,0.0,0.0148679388,6053.3,134.5,470.8,403.6,1008.9,470.8,1883.2,201.8,201.8,941.6,1210.7,134.5,2354.1,6053.3,1008.9,2017.8,1143.4,269.0,4439.1,1614.2,6053.3,5448.0,0.0,134.5,134.5,0.0,201.8,134.5
"Block 2009, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2009,001103,080770011032009,2,1,7,10,6,20,4,4,17,3,0,24,63,9,12,1,7,63,54,9,63,47,0,1,0,0,9,6,6,0,28968.0,0.0,0.0111845448,5632.8,178.8,89.4,625.9,894.1,536.5,1788.2,357.6,357.6,1520.0,268.2,0.0,2145.8,5632.8,804.7,1072.9,89.4,625.9,4828.1,804.7,5632.8,4202.2,0.0,89.4,0.0,0.0,804.7,536.5
"Block 2010, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2010,001103,080770011032010,2,0,3,5,10,3,4,3,5,2,1,9,31,4,12,3,5,31,20,11,31,24,0,0,0,0,0,7,7,0,14993.0,0.0,0.0057887973,5355.2,345.5,0.0,518.2,863.7,1727.5,518.2,691.0,518.2,863.7,345.5,172.7,1554.7,5355.2,691.0,2073.0,518.2,863.7,3454.9,1900.2,5355.2,4145.9,0.0,0.0,0.0,0.0,0.0,1209.2
"Block 2011, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2011,001103,080770011032011,7,13,5,25,15,8,4,4,9,1,1,15,66,25,25,3,9,66,58,8,66,57,0,0,3,0,0,6,6,3,30685.0,0.0,0.0118474785,5570.8,590.8,1097.3,422.0,2110.2,1266.1,675.2,337.6,337.6,759.7,84.4,84.4,1266.1,5570.8,2110.2,2110.2,253.2,759.7,4895.6,675.2,5570.8,4811.2,0.0,0.0,253.2,0.0,0.0,506.4
